頁數: 1, 文章ID: 2749541, 標題: 春節敬老禮金》2025全台春節禮金「發放金額、領取時間」一次看, 來源: 網新自製, 審核日期: 2025-01-17 16:59:05, 總PV: 701010, 爬取日PV: 15
頁數: 1, 文章ID: 2753189, 標題: 台灣50年大廠「證實倒閉」！上班一半失業　上百名員工討錢, 來源: 網新自製, 審核日期: 2025-01-17 13:14:07, 總PV: 657875, 爬取日PV: 4
頁數: 1, 文章ID: 2749606, 標題: 台灣知名旅行社「突傳歇業」！開業34年　認了：月底熄燈, 來源: 網新自製, 審核日期: 2025-01-14 14:27:34, 總PV: 631657, 爬取日PV: 6
頁數: 1, 文章ID: 2760956, 標題: 中國春晚魔術出包！女觀眾被「一分為二」沒變回來　魔術師急回應, 來源: 網新自製, 審核日期: 2025-01-24 16:04:29, 總PV: 594910, 爬取日PV: 3
頁數: 1, 文章ID: 2761339, 標題: 爆公公性侵！新北人妻墜樓　尪「隔天也死了」成雙屍, 來源: 網新自製, 審核日期: 2025-01-24 21:21:14, 總PV: 543039, 爬取日PV: 0
頁數: 1, 文章ID: 2763651, 標題: 蛇年國運籤出爐！媽祖示警「台灣恐出大事」　1問題先解決, 來源: 網新自製, 審核日期: 2025-01-28 10:03:12, 總PV: 533046, 爬取日PV: 17
頁數: 1, 文章ID: 2763025, 標題: 電動車大廠「申請破產」！欠巨債54億　全球裁員失業, 來源: 網新自製, 審核日期: 2025-01-27 11:05:30, 總PV: 504248, 爬取日PV: 5
頁數: 1, 文章ID: 2762404, 標題: 林葉亭父昔是大學教授！作息養生罹患失智　她衝擊轉念, 來源: 網新自製, 審核日期: 2025-01-26 13:31:46, 總PV: 421228, 爬取日PV: 13
頁數: 1, 文章ID: 2761283, 標題: 天氣／大雨來了！　全台猛變天「連3天下雨」, 來源: 網新自製, 審核日期: 2025-01-24 20:07:34, 總PV: 378494, 爬取日PV: 2
頁數: 1, 文章ID: 2750755, 標題: 謝金燕兒子「生父」爆是他！　利菁脫口答案急道歉：以為早公布, 來源: 網新自製, 審核日期: 2025-01-15 14:05:15, 總PV: 354885, 爬取日PV: 0
頁數: 1, 文章ID: 2740768, 標題: 年輕人開始流行戴有線耳機！竟為「1原因」　一票人秒懂, 來源: AI WIZE, 審核日期: 2025-01-06 10:59:06, 總PV: 340544, 爬取日PV: 3
頁數: 1, 文章ID: 2759838, 標題: 林秉樞放棄急救！　高嘉瑜「首度發聲」, 來源: 網新自製, 審核日期: 2025-01-23 15:57:42, 總PV: 339796, 爬取日PV: 4
頁數: 1, 文章ID: 2745637, 標題: 鬼鬼突報喜當媽！炎亞綸被問生父是誰　17字回應了, 來源: 網新自製, 審核日期: 2025-01-10 11:53:31, 總PV: 336255, 爬取日PV: 1
頁數: 1, 文章ID: 2757823, 標題: 快訊／前國手「敗血症辭世」！　噩耗證實了, 來源: 中央社, 審核日期: 2025-01-21 22:40:11, 總PV: 324311, 爬取日PV: 2
頁數: 1, 文章ID: 2762519, 標題: 過年穿衣禁忌！命理師「3生肖」不能穿紅色　2色能提升財運, 來源: 網新自製, 審核日期: 2025-01-26 13:58:38, 總PV: 318888, 爬取日PV: 3
頁數: 1, 文章ID: 2742146, 標題: 駕駛人注意了！新增科技執法2/1正式上路　違者秒噴5400, 來源: 網新自製, 審核日期: 2025-01-07 13:52:23, 總PV: 318260, 爬取日PV: 2
頁數: 1, 文章ID: 2746504, 標題: 羅志祥被爆復合周揚青！穿情侶裝「日本同遊」被拍　助理全說了, 來源: 網新自製, 審核日期: 2025-01-10 20:54:29, 總PV: 295272, 爬取日PV: 2
頁數: 1, 文章ID: 2756584, 標題: 嘉義地震速報／6.4深夜強震！台南房屋倒塌，全台災情、餘震一次看（不斷更新）, 來源: 網新自製, 審核日期: 2025-01-21 13:19:46, 總PV: 292692, 爬取日PV: 3
頁數: 1, 文章ID: 2762148, 標題: 台南5.7地震「震央往西移」　專家警告：1地區警戒, 來源: AI WIZE, 審核日期: 2025-01-25 23:06:34, 總PV: 280968, 爬取日PV: 2
頁數: 1, 文章ID: 2740650, 標題: 停車「發票中1000萬」！4張中獎沒人領　獎落這縣市, 來源: 網新自製, 審核日期: 2025-01-06 08:08:00, 總PV: 266403, 爬取日PV: 4
頁數: 1, 文章ID: 2756565, 標題: 快訊／台南民宅倒塌民眾抱嬰滿身血逃出　強震震斷竹圍橋, 來源: 網新自製, 審核日期: 2025-01-21 01:43:00, 總PV: 262101, 爬取日PV: 1
頁數: 1, 文章ID: 2761500, 標題: 林葉亭尋父9天被問1句淚認「像簽放棄急救」　消防局結束任務退場, 來源: 網新自製, 審核日期: 2025-01-25 07:35:24, 總PV: 259599, 爬取日PV: 5
頁數: 1, 文章ID: 2763872, 標題: 桃園人妻「屠殺百狗」每月爽賺6位數　前夫不忍大義滅親舉報, 來源: 網新自製, 審核日期: 2025-01-28 13:19:52, 總PV: 257002, 爬取日PV: 0
頁數: 1, 文章ID: 2737395, 標題: 毛加恩第二胎出生4天離世！妻大出血「住加護病房」　爸爸不久也走了, 來源: 網新自製, 審核日期: 2025-01-02 13:46:38, 總PV: 255275, 爬取日PV: 0
頁數: 1, 文章ID: 2738649, 標題: 花蓮20年飯店宣布「終止營運」！住房率跌8成　2月正式熄燈, 來源: 中央社, 審核日期: 2025-01-03 15:22:40, 總PV: 254868, 爬取日PV: 1
頁數: 2, 文章ID: 2736937, 標題: 大潤發「被賣掉了」！555億全售出　阿里巴巴急撤資, 來源: 中央社, 審核日期: 2025-01-02 08:14:04, 總PV: 254814, 爬取日PV: 0
頁數: 2, 文章ID: 2758377, 標題: 林秉樞暴肥80→134kg！送醫休克　病因「恐與這食物有關」, 來源: 網新自製, 審核日期: 2025-01-22 13:35:25, 總PV: 253934, 爬取日PV: 1
頁數: 2, 文章ID: 2756537, 標題: 快訊／國家警報大響！嘉義6.4大地震最大震度5級, 來源: 地震快訊, 審核日期: 2025-01-21 00:18:36, 總PV: 251231, 爬取日PV: 4
頁數: 2, 文章ID: 2763271, 標題: 過年禁忌大凶！除夕、初一、初二「10大禁忌」　觸犯衰整年, 來源: 健康2.0, 審核日期: 2025-01-27 15:42:22, 總PV: 247406, 爬取日PV: 4
頁數: 2, 文章ID: 2745530, 標題: 慈濟醫院爆偷畫盜圖！　證嚴法師「無奈回6字」, 來源: 網新自製, 審核日期: 2025-01-10 10:16:21, 總PV: 241203, 爬取日PV: 2
頁數: 2, 文章ID: 2764063, 標題: UNIQLO超夯外套「跳水降價」！大砍1100元　一票手刀搶爆, 來源: 網新自製, 審核日期: 2025-01-28 17:27:18, 總PV: 239149, 爬取日PV: 5
頁數: 2, 文章ID: 2763663, 標題: 宜蘭名店無預警停業！業者證實「老闆跌倒驟逝」：無限期休息, 來源: 網新自製, 審核日期: 2025-01-28 10:09:56, 總PV: 236428, 爬取日PV: 12
頁數: 2, 文章ID: 2733280, 標題: 濟州航空空難不斷更新／黑盒子錄音檔還原成功　FDR 1/6送美分析, 來源: 網新自製, 審核日期: 2025-01-03 18:00:30, 總PV: 232796, 爬取日PV: 1
頁數: 2, 文章ID: 2764203, 標題: 有片／釜山航空載176人客機金海機場遭火舌吞噬　易斯達飛台灣航班受延誤, 來源: 網新自製, 審核日期: 2025-01-28 23:30:32, 總PV: 232795, 爬取日PV: 1
頁數: 2, 文章ID: 2762236, 標題: 楊梅車禍／5人座電動車裝8人疑「嚴重超載」　夫妻網購電商背景曝, 來源: 網新自製, 審核日期: 2025-01-26 08:09:11, 總PV: 231028, 爬取日PV: 0
頁數: 2, 文章ID: 2763464, 標題: 18.7萬人「腹瀉衝急診」！老少全團滅　醫揭病毒肆虐主因, 來源: 網新自製, 審核日期: 2025-01-27 19:18:13, 總PV: 230822, 爬取日PV: 2
頁數: 2, 文章ID: 2589783, 標題: 動滋券2025》可以買什麼？領取資格、登記方法和使用店家懶人包, 來源: 網新自製, 審核日期: 2025-01-02 14:08:32, 總PV: 225286, 爬取日PV: 16
頁數: 2, 文章ID: 2736459, 標題: 台灣1校「突爆倒閉」！教育部證實　1年22所全倒了, 來源: 中央社, 審核日期: 2025-01-02 08:51:47, 總PV: 218337, 爬取日PV: 4
頁數: 2, 文章ID: 2759460, 標題: UNIQLO無預警撤出1地區！宣布停業　網崩潰：要去外縣市買了, 來源: 網新自製, 審核日期: 2025-01-23 12:08:40, 總PV: 213622, 爬取日PV: 0
頁數: 2, 文章ID: 2761349, 標題: 林葉亭失智父走失第8天！爸爸「常去新竹北極殿拜拜」廟方回應了, 來源: 網新自製, 審核日期: 2025-01-24 21:43:31, 總PV: 213140, 爬取日PV: 3
頁數: 2, 文章ID: 2762484, 標題: 園丁整地才發現！林葉亭父陳屍水田　失聯11天才找到原因曝, 來源: 網新自製, 審核日期: 2025-01-26 12:49:14, 總PV: 212071, 爬取日PV: 0
頁數: 2, 文章ID: 2743442, 標題: 台灣藝術家林惺嶽辭世享壽87歲　一生為鄉土奉獻, 來源: 網新自製, 審核日期: 2025-01-08 13:48:53, 總PV: 209226, 爬取日PV: 0
頁數: 2, 文章ID: 2740446, 標題: 命中註定好命格！「4生肖」天生有佛緣　福報綿長一生受庇佑, 來源: AI WIZE, 審核日期: 2025-01-05 18:25:50, 總PV: 208066, 爬取日PV: 0
頁數: 2, 文章ID: 2754395, 標題: 本土男星欠債千萬！當著白冰冰面下跪　淚崩「感謝媽媽的相助」, 來源: 網新自製, 審核日期: 2025-01-18 16:29:33, 總PV: 207982, 爬取日PV: 3
